Type,Name,Price,Image_url,Buy_url,Local_Path
Funda para silla,EKEDALEN,299,https://www.ikea.com/es/es/images/products/ekedalen-funda-silla-orrsta-gris-claro__0870838_pe640441_s5.jpg?f=xxs,https://www.ikea.com/es/es/p/ekedalen-funda-silla-orrsta-gris-claro-40377048/,../data/img_ikea_Sillas/0094.jpg
Silla,BERGMUND,29,https://www.ikea.com/es/es/images/products/bergmund-silla-negro-glose-negro__0817914_pe774169_s5.jpg?f=xxs,https://www.ikea.com/es/es/p/bergmund-silla-negro-glose-negro-70451999/,../data/img_ikea_Sillas/0095.jpg
Funda para silla,LÄKTARE,25,https://www.ikea.com/es/es/images/products/laktare-funda-silla-gunnared-verde-claro__1187168_pe899071_s5.jpg?f=xxs,https://www.ikea.com/es/es/p/laktare-funda-silla-gunnared-verde-claro-80527994/,../data/img_ikea_Sillas/0096.jpg
Silla de confidente,LOBERGET / MALSKÄR,955,https://www.ikea.com/es/es/images/products/loberget-malskar-silla-confidente-blanco-gris-oscuro__1078473_pe857209_s5.jpg?f=xxs,https://www.ikea.com/es/es/p/loberget-malskar-silla-confidente-blanco-gris-oscuro-s19445450/,../data/img_ikea_Sillas/0097.jpg
Silla,EKEDALEN,1.155,https://www.ikea.com/es/es/images/products/ekedalen-silla-blanco-orrsta-gris-claro__1082705_pe858785_s5.jpg?f=xxs,https://www.ikea.com/es/es/p/ekedalen-silla-blanco-orrsta-gris-claro-s29399829/,../data/img_ikea_Sillas/0098.jpg
"Banco con almacenaje juguetes, 90x52x48 cm",SMÅSTAD,1.355,https://www.ikea.com/es/es/images/products/smastad-banco-con-almacenaje-juguetes-blanco-blanco__0918197_pe786134_s5.jpg?f=xxs,https://www.ikea.com/es/es/p/smastad-banco-con-almacenaje-juguetes-blanco-blanco-s19389152/,../data/img_ikea_Sillas/0099.jpg
"Mesa y 4 sillas, 110 cm",GRÅSALA / ÖSTANÖ,35,https://www.ikea.com/es/es/images/products/grasala-ostano-mesa-4-sillas-gris-remmarn-marron-rojizo__1181654_pe896736_s5.jpg?f=xxs,https://www.ikea.com/es/es/p/grasala-ostano-mesa-4-sillas-gris-remmarn-marron-rojizo-s29497293/,../data/img_ikea_Sillas/0100.jpg
Sillón,PERSBOL,5,https://www.ikea.com/es/es/images/products/persbol-sillon-abedul-tibbleby-beis-gris__1123949_pe874927_s5.jpg?f=xxs,https://www.ikea.com/es/es/p/persbol-sillon-abedul-tibbleby-beis-gris-50350190/,../data/img_ikea_Sillas/0101.jpg
Silla de trabajo,FLINTAN,300,https://www.ikea.com/es/es/images/products/flintan-silla-trabajo-beige__1007198_pe825954_s5.jpg?f=xxs,https://www.ikea.com/es/es/p/flintan-silla-trabajo-beige-70492202/,../data/img_ikea_Sillas/0102.jpg
Silla,EKEDALEN,360,https://www.ikea.com/es/es/images/products/ekedalen-silla-efecto-roble-hakebo-beige__1110581_pe870524_s5.jpg?f=xxs,https://www.ikea.com/es/es/p/ekedalen-silla-efecto-roble-hakebo-beige-s39488108/,../data/img_ikea_Sillas/0103.jpg
Silla con reposabrazos,YPPERLIG,99,https://www.ikea.com/es/es/images/products/ypperlig-silla-con-reposabrazos-verde__0505332_pe633865_s5.jpg?f=xxs,https://www.ikea.com/es/es/p/ypperlig-silla-con-reposabrazos-verde-40346580/,../data/img_ikea_Sillas/0104.jpg
Sillón,SÖDERHAMN,49,https://www.ikea.com/es/es/images/products/soderhamn-sillon-tallmyra-azul__1015693_pe830091_s5.jpg?f=xxs,https://www.ikea.com/es/es/p/soderhamn-sillon-tallmyra-azul-s09431241/,../data/img_ikea_Sillas/0105.jpg
Sillón,ÖNNESTAD,50,https://www.ikea.com/es/es/images/products/onnestad-sillon-katorp-beige__1280209_pe931690_s5.jpg?f=xxs,https://www.ikea.com/es/es/p/onnestad-sillon-katorp-beige-s59554475/,../data/img_ikea_Sillas/0106.jpg
Sillón con reposapiés,ROCKSJÖN,15,https://www.ikea.com/es/es/images/products/rocksjon-sillon-con-reposapies-blekinge-blanco__1247380_pe922650_s5.jpg?f=xxs,https://www.ikea.com/es/es/p/rocksjon-sillon-con-reposapies-blekinge-blanco-s89508892/,../data/img_ikea_Sillas/0107.jpg
